»’∆⁄,π…∆±¥˙¬Î,√˚≥∆, ’≈Ãº€,◊Ó∏ﬂº€,◊ÓµÕº€,ø™≈Ãº€,«∞ ’≈Ã,’«µ¯∂Ó,’«µ¯∑˘,ªª ÷¬ ,≥…Ωª¡ø,≥…ΩªΩ∂Ó,◊‹ –÷µ,¡˜Õ® –÷µ
2018-01-24,'603398,∞Ó±¶“Ê÷«,16.2,16.3,16.01,16.13,16.1,0.1,0.6211,1.5743,831240,13438076.0,3442176000.0,855360000.0
2018-01-23,'603398,∞Ó±¶“Ê÷«,16.1,16.43,15.99,16.2,16.22,-0.12,-0.7398,1.5282,806900,13052937.0,3420928000.0,850080000.0
2018-01-22,'603398,∞Ó±¶“Ê÷«,16.22,16.55,15.88,16.55,16.75,-0.53,-3.1642,2.7532,1453698,23466202.0,3446425600.0,856416000.0
2018-01-19,'603398,∞Ó±¶“Ê÷«,16.75,17.1,16.69,17.07,16.99,-0.24,-1.4126,2.2266,1175640,19797791.0,3559040000.0,884400000.0
2018-01-18,'603398,∞Ó±¶“Ê÷«,16.99,17.49,16.76,16.95,17.12,-0.13,-0.7593,4.4494,2349260,40145392.0,3610035200.0,897072000.0
2018-01-17,'603398,∞Ó±¶“Ê÷«,17.12,17.68,15.89,16.24,16.3,0.82,5.0307,5.9416,3137155,53118046.0,3637657600.0,903936000.0
2018-01-16,'603398,∞Ó±¶“Ê÷«,16.3,16.45,16.05,16.1,16.1,0.2,1.2422,1.6499,871136,14155232.0,3463424000.0,860640000.0
2018-01-15,'603398,∞Ó±¶“Ê÷«,16.1,16.46,16.04,16.4,16.63,-0.53,-3.187,2.3441,1237700,20037246.0,3420928000.0,850080000.0
2018-01-12,'603398,∞Ó±¶“Ê÷«,16.63,17.3,15.93,16.2,16.37,0.26,1.5883,4.2969,2268761,37695713.0,3533542400.0,878064000.0
2018-01-11,'603398,∞Ó±¶“Ê÷«,16.37,16.79,16.33,16.36,16.32,0.05,0.3064,1.9515,1030380,16965317.0,3478297600.0,864336000.0
2018-01-10,'603398,∞Ó±¶“Ê÷«,16.32,16.72,16.11,16.72,16.92,-0.6,-3.5461,3.8039,2008436,32901660.0,3467673600.0,861696000.0
2018-01-09,'603398,∞Ó±¶“Ê÷«,16.92,18.17,16.45,16.58,16.52,0.4,2.4213,6.0709,3205444,55711287.0,3595161600.0,893376000.0
2018-01-08,'603398,∞Ó±¶“Ê÷«,16.52,16.7,16.2,16.7,16.46,0.06,0.3645,1.5132,798960,13080152.0,3510169600.0,872256000.0
2018-01-05,'603398,∞Ó±¶“Ê÷«,16.46,16.56,15.97,16.04,16.03,0.43,2.6825,2.9846,1575882,25739972.0,3497420800.0,869088000.0
2018-01-04,'603398,∞Ó±¶“Ê÷«,16.03,16.16,15.84,15.88,15.95,0.08,0.5016,1.6539,873252,13993049.0,3406054400.0,846384000.0
2018-01-03,'603398,∞Ó±¶“Ê÷«,15.95,15.95,15.75,15.95,15.88,0.07,0.4408,1.5959,842643,13359170.0,3389056000.0,842160000.0
2018-01-02,'603398,∞Ó±¶“Ê÷«,15.88,16.0,15.64,15.64,15.79,0.09,0.57,1.1325,597960,9494829.0,3374182400.0,838464000.0
2017-12-29,'603398,∞Ó±¶“Ê÷«,15.79,15.85,15.39,15.6,15.63,0.16,1.0237,1.1612,613120,9580883.0,3355059200.0,833712000.0
2017-12-28,'603398,∞Ó±¶“Ê÷«,15.63,15.96,15.57,15.7,15.73,-0.1,-0.6357,1.4177,748560,11792182.0,3321062400.0,825264000.0
2017-12-27,'603398,∞Ó±¶“Ê÷«,15.73,15.76,15.2,15.52,15.51,0.22,1.4184,1.9125,1009812,15681797.0,3342310400.0,830544000.0
2017-12-26,'603398,∞Ó±¶“Ê÷«,15.51,15.8,15.09,15.09,15.08,0.43,2.8515,1.5342,810032,12592039.0,3295564800.0,818928000.0
2017-12-25,'603398,∞Ó±¶“Ê÷«,15.08,15.51,15.01,15.5,15.21,-0.13,-0.8547,0.8138,429670,6493609.0,3204198400.0,796224000.0
2017-12-22,'603398,∞Ó±¶“Ê÷«,15.21,15.58,15.2,15.3,15.4,-0.19,-1.2338,0.6682,352800,5400795.0,3231820800.0,803088000.0
2017-12-21,'603398,∞Ó±¶“Ê÷«,15.4,15.5,15.09,15.2,15.24,0.16,1.0499,0.8008,422843,6504175.0,3272192000.0,813120000.0
2017-12-20,'603398,∞Ó±¶“Ê÷«,15.24,15.6,15.18,15.6,15.6,-0.36,-2.3077,0.9432,498000,7631865.0,3238195200.0,804672000.0
2017-12-19,'603398,∞Ó±¶“Ê÷«,15.6,15.7,15.49,15.53,15.55,0.05,0.3215,0.6864,362442,5653644.0,3314688000.0,823680000.0
2017-12-18,'603398,∞Ó±¶“Ê÷«,15.55,15.81,15.47,15.67,15.79,-0.24,-1.5199,0.7203,380320,5933572.0,3304064000.0,821040000.0
2017-12-15,'603398,∞Ó±¶“Ê÷«,15.79,15.82,15.52,15.72,15.71,0.08,0.5092,0.6645,350847,5485292.0,3355059200.0,833712000.0
2017-12-14,'603398,∞Ó±¶“Ê÷«,15.71,15.78,15.59,15.77,15.77,-0.06,-0.3805,0.5539,292480,4582966.0,3338060800.0,829488000.0
2017-12-13,'603398,∞Ó±¶“Ê÷«,15.77,15.88,15.55,15.88,15.68,0.09,0.574,0.5543,292682,4584316.0,3350809600.0,832656000.0
2017-12-12,'603398,∞Ó±¶“Ê÷«,15.68,16.25,15.62,16.15,16.05,-0.37,-2.3053,0.9459,499420,7922897.0,3331686400.0,827904000.0
2017-12-11,'603398,∞Ó±¶“Ê÷«,16.05,16.08,15.67,15.78,15.81,0.24,1.518,0.9458,499382,7952919.0,3410304000.0,847440000.0
2017-12-08,'603398,∞Ó±¶“Ê÷«,15.81,15.87,15.59,15.59,15.59,0.22,1.4112,0.9857,520460,8220021.0,3359308800.0,834768000.0
2017-12-07,'603398,∞Ó±¶“Ê÷«,15.59,15.7,15.41,15.63,15.64,-0.05,-0.3197,0.8212,433580,6769411.0,3312563200.0,823152000.0
2017-12-06,'603398,∞Ó±¶“Ê÷«,15.64,15.7,15.0,15.3,15.32,0.32,2.0888,1.2814,676582,10352501.0,3323187200.0,825792000.0
2017-12-05,'603398,∞Ó±¶“Ê÷«,15.32,16.03,15.0,16.02,15.93,-0.61,-3.8293,1.8257,963960,14942573.0,3255193600.0,808896000.0
2017-12-04,'603398,∞Ó±¶“Ê÷«,15.93,16.32,15.85,16.31,16.32,-0.39,-2.3897,1.3318,703200,11322827.0,3384806400.0,841104000.0
2017-12-01,'603398,∞Ó±¶“Ê÷«,16.32,16.35,16.09,16.33,16.25,0.07,0.4308,1.2506,660292,10733260.0,3467673600.0,861696000.0
2017-11-30,'603398,∞Ó±¶“Ê÷«,16.25,16.51,16.18,16.4,16.45,-0.2,-1.2158,1.2789,675266,11011407.0,3452800000.0,858000000.0
2017-11-29,'603398,∞Ó±¶“Ê÷«,16.45,16.6,16.23,16.6,16.52,-0.07,-0.4237,1.1647,614960,10083900.0,3495296000.0,868560000.0
2017-11-28,'603398,∞Ó±¶“Ê÷«,16.52,16.57,16.03,16.41,16.36,0.16,0.978,1.333,703823,11537462.0,3510169600.0,872256000.0
2017-11-27,'603398,∞Ó±¶“Ê÷«,16.36,17.08,16.28,16.98,17.09,-0.73,-4.2715,2.9156,1539463,25397816.0,3476172800.0,863808000.0
2017-11-24,'603398,∞Ó±¶“Ê÷«,17.09,17.25,16.76,17.25,17.16,-0.07,-0.4079,2.4171,1276204,21674553.0,3631283200.0,902352000.0
2017-11-23,'603398,∞Ó±¶“Ê÷«,17.16,17.59,17.0,17.01,17.96,-0.8,-4.4543,4.8829,2578149,44509769.0,3646156800.0,906048000.0
2017-11-22,'603398,∞Ó±¶“Ê÷«,17.96,18.41,17.62,17.67,16.75,1.21,7.2239,9.5562,5045649,90657446.0,3816140800.0,948288000.0
2017-11-21,'603398,∞Ó±¶“Ê÷«,16.75,16.78,16.55,16.61,16.66,0.09,0.5402,1.2294,649129,10823974.0,3559040000.0,884400000.0
2017-11-20,'603398,∞Ó±¶“Ê÷«,16.66,17.08,16.05,17.08,16.9,-0.24,-1.4201,1.6741,883920,14484606.0,3539916800.0,879648000.0
2017-11-17,'603398,∞Ó±¶“Ê÷«,16.9,17.96,16.84,17.81,17.83,-0.93,-5.2159,2.7259,1439280,24766252.0,3590912000.0,892320000.0
2017-11-16,'603398,∞Ó±¶“Ê÷«,17.83,18.18,17.8,17.88,18.05,-0.22,-1.2188,1.3532,714480,12878219.0,3788518400.0,941424000.0
2017-11-15,'603398,∞Ó±¶“Ê÷«,18.05,18.1,17.6,18.0,17.98,0.07,0.3893,1.266,668464,11966992.0,3835264000.0,953040000.0
2017-11-14,'603398,∞Ó±¶“Ê÷«,17.98,18.18,17.8,18.1,18.15,-0.17,-0.9366,1.8383,970639,17444001.0,3820390400.0,949344000.0
2017-11-13,'603398,∞Ó±¶“Ê÷«,18.15,18.49,18.06,18.4,18.43,-0.28,-1.5193,1.9537,1031563,18761501.0,3856512000.0,958320000.0
2017-11-10,'603398,∞Ó±¶“Ê÷«,18.43,18.68,18.38,18.48,18.5,-0.07,-0.3784,1.7356,916384,16934580.0,3916006400.0,973104000.0
2017-11-09,'603398,∞Ó±¶“Ê÷«,18.5,18.61,18.15,18.18,18.27,0.23,1.2589,1.9358,1022120,18774382.0,3930880000.0,976800000.0
2017-11-08,'603398,∞Ó±¶“Ê÷«,18.27,18.47,18.1,18.2,18.33,-0.06,-0.3273,1.975,1042797,19124176.0,3882009600.0,964656000.0
2017-11-07,'603398,∞Ó±¶“Ê÷«,18.33,18.49,18.07,18.43,18.42,-0.09,-0.4886,1.3299,702176,12805398.0,3894758400.0,967824000.0
2017-11-06,'603398,∞Ó±¶“Ê÷«,18.42,18.45,17.9,18.28,18.28,0.14,0.7659,2.031,1072360,19412952.0,3913881600.0,972576000.0
2017-11-03,'603398,∞Ó±¶“Ê÷«,18.28,18.58,18.24,18.35,18.35,-0.07,-0.3815,1.2033,635340,11681373.0,3884134400.0,965184000.0
2017-11-02,'603398,∞Ó±¶“Ê÷«,18.35,18.9,18.34,18.7,18.68,-0.33,-1.7666,1.2276,648160,11999459.0,3899008000.0,968880000.0
2017-11-01,'603398,∞Ó±¶“Ê÷«,18.68,18.95,18.61,18.7,18.7,-0.02,-0.107,1.4471,764080,14338728.0,3969126400.0,986304000.0
